Comment,Designator,Footprint,LCSC Part #;
,CR1220,CR1220-SMD,;
,J1 J2 J3 J7,1X04_1MM_RA,;
 MBR130T1G  SL; SOD123 or SMA  1A,D1,SMA-DIODE,
0R,FL01 FL02,R0603,;
BAT20JFILM,D5,SOD-323,;
1k,R12,R0603,;
4k7,R13 R14,R0603,;
10k,R1 R2 R3 R4 R5 R8 R9 R19 R20 R21 R23,R0603,;
10uf,C2 C4,C0805,;
18k,R25,R0603,;
100R,R15 R16 R17 R24,R0603,;
100k,R7,R0603,;
100nF,C9,C0603,;
100nf,C1 C3 C5 C6 C7 C10,C0603,;
220k,R6,R0603,;
470,R10 R11 R18,R0603,;
470uf,C8,EIA7343,;
PTCF-V-T/R,YD-3414,4363X10458XX, C240298;
AMS1117,AMS1117,SOT229P700X180-4N,;
ATTINY841-SSU,ATTINY841,SOIC127P599X175-14N,;
BC848 30V 100mA,Q3,SOT23-3,;
BLUE,D2,LED-0603,;
BSS138,Q4,SOT95P240X111-3N,;
CH340C,CH340C,SO016,;
CMT-7525-80-SMT-TR,LS1,XDCR_CMT-7525-80-SMT-TR,;
DS3231S,DS3231,SOIC127P1032X265-16N,;
ESP-12F,ESP8266-12F,ESP-12F, C82891;
GREEN,D4,LED-0603,;
IRLML6344,Q5,SOT23,;
ISCP_PORTPOGONEW,U$1,ISCP_PADS_2ROW2HNEW,;
MICRO-USB-B,MICRO-USB,MICRO_USB_4_LEGS,;
MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,S1 S5 S6 S7,TACTILE_SWITCH_SMD_4.6X2.8MM, C318893;
NPN_S8050,Q1 Q2,SOT-23,;
RED,D3,LED-0603,;
VIOLETT,D6,LED-0603,;
