Designator,Mid X,Mid Y,Layer,Rotation
AMS1117,34.29,44.45,Top,90.0
ATTINY841,77.47,54.61,Top,270.0
C1,29.21,46.99,Top,90.0
C2,29.21,41.91,Top,270.0
C3,39.37,46.99,Top,90.0
C4,39.37,41.91,Top,270.0
C5,12.70,43.18,Top,270.0
C6,22.86,43.18,Top,270.0
C7,34.93,50.93,Top,0.0
C8,32.51,35.69,Top,0.0
C9,54.61,41.91,Top,180.0
C10,81.28,60.96,Top,90.0
CH340C,38.23,57.28,Top,90.0
CR1220,78.74,40.64,Top,180.0
D1,39.88,35.81,Top,270.0
D2,67.69,33.91,Top,90.0
D3,46.99,74.55,Top,180.0
D4,48.64,44.45,Top,90.0
D5,71.12,60.96,Top,90.0
D6,78.74,60.96,Top,270.0
DS3231,62.23,44.45,Top,90.0
ESP8266-12F,13.97,55.88,Top,90.0
FL01,73.66,60.96,Top,90.0
FL02,70.36,45.72,Top,270.0
J1,87.63,57.15,Top,90.0
J2,87.63,66.04,Top,90.0
J3,87.63,48.26,Top,90.0
J7, 6.35,41.91,Top,270.0
LS1,62.23,58.42,Top,90.0
MICRO-USB,46.99,33.02,Top,90.0
Q1,30.48,53.34,Top,180.0
Q2,30.48,63.50,Top,0.0
Q3,53.34,57.79,Top,180.0
Q4,46.99,57.53,Top,270.0
Q5,83.19,49.28,Top,90.0
R1,20.32,43.18,Top,90.0
R2,10.16,43.18,Top,90.0
R3,19.05,68.58,Top,270.0
R4,21.59,68.58,Top,270.0
R5,24.13,68.58,Top,270.0
R6,15.24,43.18,Top,270.0
R7,17.78,43.18,Top,90.0
R8,30.48,59.69,Top,0.0
R9,30.48,57.15,Top,180.0
R10,13.97,68.58,Top,90.0
R11,11.43,68.58,Top,90.0
R12,53.34,61.60,Top,0.0
R13,54.61,44.45,Top,0.0
R14,54.61,46.99,Top,0.0
R15,64.77,33.91,Top,270.0
R16,50.80,74.55,Top,180.0
R17,45.97,44.45,Top,270.0
R18,25.91,35.43,Top,90.0
R19,46.99,61.60,Top,0.0
R20,46.99,53.59,Top,180.0
R21,15.24,74.93,Top,0.0
R23,84.07,53.09,Top,0.0
R24,76.20,60.96,Top,90.0
R25,77.47,49.28,Top,180.0
S1,53.72,52.32,Top,180.0
S5,33.02,69.85,Top,90.0
S6,46.99,69.85,Top,90.0
S7,60.96,69.85,Top,90.0
YD-3414,58.22,34.04,Top,0.0
